대분류,중분류,소분류,테스트 항목,테스트 절차,기대 결과
Web,프로필 페이지,계정 관리 영역,회원탈퇴,회원탈퇴를 클릭하고 확정한다,계정이 삭제되고 세션이 초기화된 뒤 홈으로 이동한다
Web,모바일 플랜 페이지,결제 시트,휴대폰 번호 검증,잘못된 휴대폰 번호를 입력한다,동의하기 또는 다음 버튼이 활성화되지 않는다
Web,모바일 플랜 페이지,결제 시트,필수 약관 체크,필수 약관을 모두 체크한다,동의하기 버튼이 활성화된다
Web,모바일 플랜 페이지,결제 시트,결제 시작,유효한 전화번호와 약관 동의 후 결제를 시작한다,결제 페이지를 여는 중 상태 후 결제 URL로 이동한다
Web,결제 완료 페이지,활성화 대기,활성화 로딩 문구,모바일 결제 완료 후 진입한다,구독 활성화 확인을 위해 로딩 문구가 표시된다
Web,결제 완료 페이지,활성화 성공,성공 상태 표시,구독 활성화가 확인된다,구독이 활성화되었어요 문구와 계정 이동 버튼이 표시된다
Web,결제 완료 페이지,활성화 지연,지연 상태 안내,활성화 확인이 제한 횟수 내 완료되지 않는다,구독 확인이 지연되고 있어요 문구가 표시된다
Web,이벤트 페이지,첫 화면,진입 렌더링,/event에 진입한다,이벤트 메인 비주얼과 주요 혜택 정보가 첫 화면에 표시된다
Web,이벤트 페이지,섹션 네비게이션,스크롤 트래킹,이벤트 페이지를 아래로 스크롤한다,현재 섹션에 맞춰 네비게이션 dot이 하이라이트된다
Web,이벤트 페이지,토큰 잔액 카드,로그인 잔액 표시,로그인 상태로 이벤트 페이지에 진입한다,내 토큰 잔액 카드에 현재 잔액이 표시된다
Web,이벤트 페이지,토큰 잔액 카드,비로그인 표시,비로그인 상태로 이벤트 페이지에 진입한다,로그인 전 상태에 맞는 잔액 안내가 표시된다
Web,이벤트 페이지,EVENT 01,토큰 카운터 애니메이션,EVENT 01 영역에 진입한다,토큰 카운터가 단계적으로 증가하고 최종 값이 정확하다
Web,이벤트 페이지,EVENT 01,구독 CTA,구독 시작하기 버튼을 클릭한다,프로필 플랜 또는 결제 플로우로 이동한다
Web,이벤트 페이지,EVENT 02,출석 캘린더,EVENT 02 영역에 진입한다,22일 또는 진행 일수에 맞춰 코인이 순서대로 채워진다
Web,이벤트 페이지,EVENT 02,30일 이후 셀,출석 캘린더 30일 이후 셀을 확인한다,비활성 상태로 표시되고 클릭할 수 없다
Web,이벤트 페이지,종료 상태,EndedStamp,이벤트 종료 상태로 페이지에 진입한다,종료 스탬프가 표시되고 참여 액션이 비활성화된다
Web,추천인 페이지,혜택 설명 영역,로그인 상태 표시,/event/referral에 로그인 상태로 진입한다,내 추천 코드 링크 추천 통계가 표시된다
Web,추천인 페이지,혜택 설명 영역,비로그인 상태 표시,/event/referral에 비로그인 상태로 진입한다,추천 코드가 마스킹되고 로그인 유도 UI가 표시된다
Web,추천인 페이지,초대 코드 입력,정상 코드 적용,사용 가능한 초대 코드를 입력하고 적용한다,성공 배너와 토큰 지급 안내가 표시된다
Web,추천인 페이지,초대 코드 입력,본인 코드 차단,본인의 초대 코드를 입력한다,본인 코드 사용 불가 안내가 표시된다
Web,추천인 페이지,초대 코드 입력,이미 사용한 코드,이미 사용한 초대 코드를 다시 입력한다,이미 사용한 코드 안내가 표시된다
Web,추천인 페이지,초대 코드 입력,존재하지 않는 코드,존재하지 않는 초대 코드를 입력한다,유효하지 않은 코드 안내가 표시된다
Web,추천인 페이지,공유 카드,코드 복사,추천 코드 복사 버튼을 클릭한다,복사됨 문구가 표시되고 클립보드에 코드가 저장된다
Web,추천인 페이지,공유 카드,링크 복사,추천 링크 복사 버튼을 클릭한다,복사됨 문구가 표시되고 클립보드에 링크가 저장된다
Web,추천인 페이지,공유 카드,Web Share 폴백,Web Share API가 없는 브라우저에서 공유를 클릭한다,클립보드 복사로 대체 동작한다
Android,스플래시 화면,앱 시작,콜드 스타트,앱을 완전히 종료한 뒤 실행한다,스플래시 후 저장 토큰 상태에 맞는 화면으로 이동한다
Android,로그인 화면,Google 로그인,로그인 성공,Google로 시작하기를 눌러 정상 계정으로 인증한다,토큰이 저장되고 홈 탭으로 이동한다
Android,로그인 화면,Google 로그인,로그인 실패,Google 인증 중 취소 또는 오류를 발생시킨다,오류 상태가 처리되고 로그인 화면 조작이 가능하다
Android,온보딩 화면,페이지 전환,다음 버튼,온보딩에서 다음 버튼을 누른다,다음 온보딩 페이지가 표시되고 스텝 인디케이터가 갱신된다
Android,온보딩 화면,페이지 전환,스와이프 이동,온보딩 화면을 좌우로 스와이프한다,페이지가 자연스럽게 이동하고 현재 페이지가 표시된다
Android,메인 탭,하단 네비게이션,탭 이동,홈 자소서 추가 경험 리포트 계정 탭을 차례대로 누른다,선택한 탭 화면과 선택 아이콘 상태가 일치한다
Android,홈 화면,상단 배너,배너 표시,홈에 진입한다,경험 배너가 로드되고 화면 폭에 맞게 표시된다
Android,홈 화면,프로젝트 목록,로딩 상태,프로젝트 목록 API를 지연시킨다,로딩 UI가 표시되고 응답 후 목록으로 교체된다
Android,홈 화면,프로젝트 목록,빈 상태,프로젝트가 없는 계정으로 홈에 진입한다,빈 프로젝트 안내와 생성 액션이 표시된다
Android,홈 화면,프로젝트 목록,프로젝트 선택,프로젝트 목록에서 항목을 누른다,해당 프로젝트의 채팅 화면으로 이동한다
Android,프로젝트 생성 1단계,지원기업 정보,샘플 입력,샘플 데이터 입력 액션을 수행한다,회사명 직무 채용공고 인재상 예시가 채워진다
Android,프로젝트 생성 1단계,지원기업 정보,필수값 검증,필수 입력값을 비우고 다음을 누른다,다음 단계로 이동하지 않고 입력 화면에 머문다
Android,프로젝트 생성 1단계,지원기업 정보,날짜 입력,마감일을 선택하거나 수정한다,선택 날짜가 지정 형식으로 표시된다
Android,프로젝트 생성 2단계,문항 입력,샘플 문항 적용,샘플 문항 버튼을 누른다,3개 샘플 문항이 입력 필드에 채워진다
Android,프로젝트 생성 2단계,문항 입력,문항 추가 삭제,문항을 추가한 뒤 삭제한다,문항 개수와 순서가 정상적으로 갱신된다
Android,프로젝트 생성 2단계,문항 입력,생성 성공,유효한 문항으로 프로젝트 생성을 완료한다,프로젝트가 생성되고 채팅 화면으로 이동한다
Android,자소서 채팅 화면,상단 헤더,프로젝트 정보,채팅 화면에 진입한다,회사명 직무 문항 정보가 헤더에 표시된다
Android,자소서 채팅 화면,문항 탭,문항 전환,다른 문항 탭을 선택한다,선택 문항의 채팅 이력과 초안이 표시된다
Android,자소서 채팅 화면,경험 선택 영역,경험 카드 선택,경험 카드를 선택한다,선택 표시가 반영되고 요청에 선택 경험이 포함된다
Android,자소서 채팅 화면,채팅 입력 영역,메시지 전송,텍스트를 입력하고 전송 아이콘을 누른다,사용자 메시지가 표시되고 AI 응답 요청이 시작된다
Android,자소서 채팅 화면,채팅 입력 영역,빈 입력 전송 방지,빈 입력 상태에서 전송 버튼을 확인한다,전송 버튼이 비활성화되거나 전송되지 않는다
Android,자소서 채팅 화면,AI 응답 영역,SSE 스트리밍,AI 응답 스트리밍을 수신한다,응답 텍스트가 순차적으로 누적된다
Android,자소서 채팅 화면,AI 응답 영역,네트워크 중단,스트리밍 중 네트워크를 끊는다,오류 안내가 표시되고 입력 가능한 상태로 복구된다
Android,자소서 채팅 화면,초안 영역,답변 저장,작성된 답변을 저장한다,저장 성공 후 다시 진입해도 답변 내용이 유지된다
Android,문항 편집 화면,문항 관리,새 문항 추가,문항 편집에서 새 문항을 추가한다,문항 목록에 새 문항이 추가된다
Android,문항 편집 화면,문항 관리,문항 수정,기존 문항 내용을 수정하고 저장한다,채팅 화면의 문항 탭에 수정 내용이 반영된다
Android,문항 편집 화면,문항 관리,마지막 문항 삭제 제한,마지막 문항 삭제를 시도한다,삭제가 차단되고 안내 스낵바가 표시된다
Android,경험 목록 화면,목록 영역,경험 목록 표시,경험 탭에 진입한다,등록된 경험 카드 목록이 표시된다
Android,경험 목록 화면,목록 영역,빈 상태,경험이 없는 계정으로 경험 탭에 진입한다,등록된 경험 없음 안내와 등록 액션이 표시된다
Android,경험 목록 화면,카드 메뉴,경험 삭제,경험 카드 메뉴에서 삭제를 확정한다,경험이 목록에서 제거된다
Android,경험 등록 1단계,기본 정보,필수값 검증,경험 제목 또는 유형을 비우고 다음을 누른다,다음 단계 이동이 막히고 안내가 표시된다
Android,경험 등록 1단계,기본 정보,날짜 입력,경험 날짜를 입력한다,날짜 형식이 유지되고 잘못된 날짜는 안내가 표시된다
Android,경험 등록 2단계,STAR 정리,정리 방식 선택,경험 정리 방법 드롭다운을 변경한다,선택한 정리 방식에 맞는 입력 영역이 표시된다
Android,경험 등록 2단계,STAR 정리,예시 불러오기,예시 불러오기 액션을 수행한다,STAR 예시 문장이 각 필드에 채워진다
Android,경험 상세 화면,상세 정보,경험 상세 표시,경험 목록에서 카드를 누른다,경험 제목 기간 유형 내용이 서버 데이터와 일치한다
Android,리포트 화면,분석 카드,카테고리 분석,리포트 탭에 진입한다,카테고리별 분석 카드가 표시된다
Android,리포트 화면,차트 영역,유형 차트,경험 유형 차트를 확인한다,차트 값과 범례가 서버 집계와 일치한다
Android,리포트 화면,빈 상태,데이터 없음,경험이 없는 계정으로 리포트에 진입한다,빈 상태 안내가 표시되고 화면이 깨지지 않는다
Android,계정 화면,프로필 영역,내 정보 표시,계정 탭에 진입한다,이름 이메일 프로필 이미지가 표시된다
Android,계정 화면,설정 영역,로그아웃,로그아웃을 수행한다,저장 토큰이 삭제되고 로그인 화면으로 이동한다
Android,계정 화면,다이얼로그,계정 삭제 확인,계정 삭제 액션을 누른다,확인 다이얼로그가 표시되고 취소 시 삭제되지 않는다
iOS,스플래시 화면,앱 시작,토큰 없음,앱을 처음 실행하거나 토큰을 삭제한 뒤 실행한다,스플래시 후 로그인 화면으로 이동한다
iOS,스플래시 화면,앱 시작,토큰 있음,로그인 후 앱을 완전히 종료했다가 재실행한다,Keychain 토큰으로 로그인 상태가 복원된다
iOS,로그인 화면,소셜 로그인,Google 로그인,Google로 시작하기를 눌러 정상 계정으로 인증한다,토큰이 저장되고 MainTabView로 이동한다
iOS,로그인 화면,소셜 로그인,Apple 로그인,Apple로 시작하기를 눌러 정상 계정으로 인증한다,토큰이 저장되고 MainTabView로 이동한다
iOS,로그인 화면,소셜 로그인,로그인 실패,소셜 인증 취소 또는 API 실패를 발생시킨다,로그인 실패 alert가 표시되고 재시도 가능하다
iOS,로그인 화면,약관 문구,약관 링크,하단 약관 링크를 탭한다,이용약관 문서가 열린다
iOS,메인 탭,하단 탭바,탭 이동,자소서 경험 리포트 탭을 차례대로 탭한다,선택 탭의 화면과 탭 아이콘 상태가 일치한다
iOS,홈 화면,경험 유형 섹션,경험 유형 카드,홈의 경험 유형 섹션을 확인한다,로짓님의 경험 유형 카드와 관련 경험 개수가 표시된다
iOS,홈 화면,프로젝트 목록 섹션,프로젝트 목록,프로젝트가 있는 계정으로 홈에 진입한다,회사명 직무 수정일이 포함된 프로젝트 카드가 표시된다
iOS,홈 화면,프로젝트 목록 섹션,빈 상태,프로젝트가 없는 계정으로 홈에 진입한다,자기소개서를 생성해보세요 안내가 표시된다
iOS,프로젝트 생성 1단계,지원기업 정보,필수 입력,회사명 직무 채용공고를 입력하고 다음으로 이동한다,문항 입력 단계로 이동하고 입력값이 유지된다
iOS,프로젝트 생성 1단계,지원기업 정보,글자수 카운터,지원기업 정보 입력 필드에 텍스트를 입력한다,현재 글자수가 최대 글자수와 함께 표시된다
iOS,프로젝트 생성 2단계,자기소개서 문항 입력,문항 추가,추가하기를 탭한다,문항 입력 행이 추가된다
iOS,프로젝트 생성 2단계,자기소개서 문항 입력,최대 문항 수,문항을 최대 개수까지 추가한다,최대 개수 이후 추가 액션이 제한된다
iOS,프로젝트 생성 2단계,자기소개서 문항 입력,프로젝트 생성,유효한 문항을 입력하고 프로젝트 생성을 탭한다,프로젝트가 생성되고 워크스페이스로 이동한다
iOS,자소서 목록 화면,프로젝트 목록,프로젝트 선택,프로젝트 목록에서 프로젝트를 선택한다,첫 번째 문항이 선택되고 문항 탭 바가 표시된다
iOS,자소서 목록 화면,문항 영역,문항 없음,문항이 없는 프로젝트를 선택한다,문항이 없습니다 안내가 표시된다
iOS,자소서 목록 화면,답변 영역,답변 없음,답변이 없는 문항을 선택한다,아직 작성된 답변이 없습니다 문구가 표시된다
iOS,자소서 워크스페이스,상단 문항 영역,문항 전환,문항 인디케이터를 탭해 다른 문항으로 이동한다,선택 문항 내용과 답변 영역이 갱신된다
iOS,자소서 워크스페이스,경험 선택 시트,시트 열기,경험 선택 버튼을 탭한다,경험 선택 시트가 열리고 매칭 경험 목록이 표시된다
iOS,자소서 워크스페이스,경험 선택 시트,최대 3개 선택,경험을 3개 선택한 뒤 추가 선택을 시도한다,추가 선택이 제한되고 선택 개수가 유지된다
iOS,자소서 워크스페이스,채팅 영역,메시지 전송,채팅 입력창에서 메시지를 전송한다,사용자 메시지가 표시되고 AI 응답이 시작된다
iOS,자소서 워크스페이스,채팅 영역,SSE 스트리밍,AI 응답 스트리밍을 수신한다,텍스트가 순차적으로 누적되고 완료 후 입력 가능하다
iOS,자소서 워크스페이스,채팅 영역,응답 대기 표시,AI 응답을 기다리는 중 화면을 확인한다,응답 기다리는 중 문구 또는 로딩 상태가 표시된다
iOS,자소서 워크스페이스,답변 영역,자기소개서 업데이트,AI 답변 또는 작성 내용을 자기소개서로 업데이트한다,답변 영역에 업데이트된 자기소개서가 표시된다
iOS,자소서 워크스페이스,답변 영역,빈 자기소개서 안내,작성된 자기소개서가 없는 문항을 연다,아직 작성된 자기소개서가 없습니다 문구가 표시된다
iOS,경험 목록 화면,목록 영역,경험 목록 표시,경험 탭에 진입한다,경험 목록과 전체 개수가 표시된다
iOS,경험 목록 화면,목록 영역,빈 상태,경험이 없는 계정으로 경험 탭에 진입한다,등록된 경험이 없어요 문구와 경험 등록하기 버튼이 표시된다
iOS,경험 등록 1단계,경험 정보 입력,예시 불러오기,예시 불러오기 버튼을 탭한다,경험 제목 날짜 유형 예시가 채워진다
iOS,경험 등록 1단계,경험 정보 입력,필수값 검증,경험 제목 또는 유형을 비운다,다음으로 버튼이 비활성화되거나 이동이 막힌다
iOS,경험 등록 2단계,STAR 기반 경험 정리,상세 입력,Situation Task Action Result를 입력한다,입력 내용이 유지되고 다음 단계 이동이 가능하다
iOS,경험 등록 2단계,STAR 기반 경험 정리,예시 불러오기,STAR 단계에서 예시 불러오기를 탭한다,STAR 예시가 각 필드에 채워진다
iOS,경험 등록 3단계,경험 유형 선택,역량 선택,활용될 핵심 역량을 선택한다,선택한 역량이 선택 상태로 표시된다
iOS,경험 목록 화면,카드 액션,경험 삭제,경험 삭제를 수행한다,경험이 삭제되고 목록 개수가 갱신된다
iOS,리포트 화면,프로파일 영역,상단 요약,리포트 화면에 진입한다,로짓님의 프로파일 제목과 주요 분석 카드가 표시된다
iOS,리포트 화면,분석 카드,강점 태그,태그 데이터가 있는 계정으로 확인한다,상위 태그와 설명 문구가 표시된다
iOS,리포트 화면,차트 영역,경험 유형 차트,경험 유형 카드 또는 차트를 확인한다,가장 많은 경험 유형과 집계가 표시된다
iOS,리포트 화면,오류 상태,리포트 조회 실패,리포트 API 실패를 발생시킨다,오류 메시지가 표시되고 화면이 깨지지 않는다
iOS,설정 화면,상단 정보,앱 이름 표시,설정 화면에 진입한다,로짓 앱 정보와 설정 항목이 표시된다
iOS,설정 화면,알림 설정,리포트 업데이트 알림,커리어 리포트 업데이트 알림 토글을 변경한다,토글 상태가 즉시 반영된다
iOS,설정 화면,고객 지원 및 정보,문서 링크,고객 지원 또는 정보 항목을 탭한다,해당 외부 문서 또는 화면이 열린다
Admin,QA 라운드 목록,목록 테이블,라운드 목록 표시,/qa-rounds에 진입한다,라운드 이름 상태 생성자 진행률이 표시된다
Admin,QA 라운드 목록,생성 다이얼로그,빈 라운드 생성,라운드 이름만 입력하고 생성한다,빈 QA 라운드가 생성되고 상세 진입이 가능하다
